poem,topic
truth/TruthPoemsLaBoccaDeLaVeritaTheMouthOfTruthPoembyGiuseppeGioacchinoBelli.txt,truth
truth/TruthPoemsVersesOfTruthPoembyBobGotti.txt,truth
truth/TruthPoemsTimeOfTruthPoembyLindaOri.txt,truth
truth/TruthPoemsTheTruthTheDeadKnowPoembyAnneSexton.txt,truth
truth/TruthPoemsMasksOfTruthPoembyMatthewHyatt.txt,truth
truth/TruthPoems0405TheMountainOfTruthPoembyMichaelShepherd.txt,truth
truth/TruthPoemsATruthPoembyEgalBohen.txt,truth
truth/TruthPoemsTruthisAsOldAsGodPoembyEmilyDickinson.txt,truth
truth/TruthPoemsTheTruthOnAPlateButProbablyTheWrongOnePoembyDanBrown.txt,truth
truth/TruthPoems0027DreamingTruthPoembyMichaelShepherd.txt,truth
truth/TruthPoemsTellAllTheTruthPoembyEmilyDickinson.txt,truth
truth/TruthPoemsAnotherTruthDonTReadThisIfYouDonTBelieveInGodPoembyEgalBohen.txt,truth
truth/TruthPoemsMyTruthPoembyRoyalPrincess.txt,truth
truth/TruthPoemsAllIsTruthPoembyWaltWhitman.txt,truth
truth/TruthPoemsTruth4SatyamevaJayateTruthAlwaysWinsPoembyDrGeetaRadhakrishnaMenon.txt,truth
truth/TruthPoemsTheOneSureTruthPoembyWillThomas.txt,truth
truth/TruthPoemsEmotionsRunDeepDeceptionEndsLetTheTruthBeginPoembyMelvinaGermain.txt,truth
truth/TruthPoemsDoYouKnowTheTruthPoembyBobGotti.txt,truth
truth/TruthPoemsTruthIsTruthPoembyAkhtarJawad.txt,truth
truth/TruthPoemsATruthBehindTheTruthPoembyRahmanHenry.txt,truth
truth/TruthPoemsTruthPoembyStephenCrane.txt,truth
truth/TruthPoemsSonnetXiInTruthOhLovePoembySirPhilipSidney.txt,truth
truth/TruthPoems0051TheBlackbirdOfTruthPoembyMichaelShepherd.txt,truth
truth/TruthPoemsTheTruthInYouPoembyLovinaSylviaChidi.txt,truth
truth/TruthPoemsTruthIsTruthPoembyANJANDEVROY.txt,truth
truth/TruthPoemsTheTruthPoembyScarlet.txt,truth
truth/TruthPoemsTruthPoembyjodiright.txt,truth
truth/TruthPoemsBluntTruthOrSweetLiesPoembyRajaramRamachandran.txt,truth
truth/TruthPoemsBeautyIsTruthTruthBeautyPoembyJonathanROBIN.txt,truth
truth/TruthPoemsIrregularVersesToTruthPoembyLadyMaryWortleyMontagu.txt,truth
truth/TruthPoemsTruthTruthPoembyGajananMishra.txt,truth
truth/TruthPoems922HiddenTruthPoembyMelvinaGermain.txt,truth
truth/TruthPoemsTheTruthHumourInspirationPoembyAlessandraLiverani.txt,truth
truth/TruthPoemsLovingInTruthAndFainInVerseMyLoveToShowPoembySirPhilipSidney.txt,truth
truth/TruthPoemsTheTruthPoembyjeanneharmon.txt,truth
truth/TruthPoemsSonnetSpeakTheTruthAlwaysPoembyDrACelestineRajManoharMD.txt,truth
truth/TruthPoemsFaceToTruthPoembyOldAmsterdam.txt,truth
truth/TruthPoemsTruthIsStrangerThanFrictionPoembyMichaelShepherd.txt,truth
truth/TruthPoemsTheTruthBetweenUsPoembyjohntiongchunghoo.txt,truth
truth/TruthPoemsGodIsTruthAndTruthIsGodPoembyDrACelestineRajManoharMD.txt,truth
truth/TruthPoemsTruthAndAbsoluteTruthPoembyGajananMishra.txt,truth
truth/TruthPoemsTheThreadOfTruthPoembyArthurHughClough.txt,truth
truth/TruthPoemsThornsOfTruthPoembyLeaven.txt,truth
truth/TruthPoemsTruthPoembySandraOsborne.txt,truth
truth/TruthPoemsYLoveBeautyTruthBeautyTruthLoveTruthLoveBeautyPoembyAufieZophy.txt,truth
truth/TruthPoemsTheTruthPoembyCHERRYSAFFARIE.txt,truth
truth/TruthPoemsMySaviorOnTheWordOfTruthPoembyAnnaLaetitiaWaring.txt,truth
truth/TruthPoemsIfTruthInHeartsThatPerishPoembyAlfredEdwardHousman.txt,truth
truth/TruthPoemsWinesTruthAQuandaryOfLovePoembyHughCobb.txt,truth
